window_start_s,window_end_s,samples,r_mb_s_mean,w_mb_s_mean,r_iops_mean,w_iops_mean,util_mean,await_mean,await_p95,await_max
0,299,300,2981.1254,275.1021666666666,24456.366033333332,2254.259233333333,61.2998,1.190446942846974,2.9824193548387097,6.645426596758819
300,599,300,2702.9371333333333,244.28,22137.36923333333,2003.5389666666665,68.57503333333332,1.6762422923688902,3.630167523320007,5.809915109551362
600,899,300,2332.228,231.41673333333335,19150.8329,1913.2133,63.03856666666667,1.574792611449689,3.7141772700983227,7.5038247298919565
900,1199,300,1671.7928333333332,295.9662,13621.909133333334,2431.3581000000004,57.79603333333334,3.723589845171906,7.747431832593532,20.667865069579005
1200,1499,300,2008.3829,335.0049,16274.841733333333,2736.3908666666666,64.4543,3.756062181205918,7.2309484005786855,15.522157357736408
1500,1799,300,843.7713666666667,230.62193333333335,7055.3113,1930.5620333333334,43.25933333333333,3.154858981205653,8.012089914945323,25.20860687593423
1800,1809,10,578.982,103.32000000000001,4982.9,874.3,26.360000000000003,1.6812172659967684,5.585433991869339,5.585433991869339
