workload,rwmixread_pct,iodepth,runtime_s,read_iops,read_bw_MiBs,write_iops,write_bw_MiBs,lat_read_p50_us,lat_read_p95_us,lat_read_p99_us,lat_read_p99_9_us,lat_write_p50_us,lat_write_p95_us,lat_write_p99_us,lat_write_p99_9_us
sharegpt_8b_cpuhalf,61,32,60,20324,1794.9,12995,1388.3,937.984,3424.256,5799.936,13172.736,195.584,765.952,1318.912,27656.192
sharegpt_8b_cpuhalf,61,1024,60,13268,1171.5,8503,909.1,56885.248,74973.184,111673.344,208666.624,22937.6,54788.096,221249.536,246415.36
burstgpt_8b_cpurel_spd1000,91,32,60,21704,2526.2,2150,252.6,1351.68,2539.52,3588.096,14876.672,28.288,64.768,268.288,116916.224
burstgpt_8b_cpurel_spd1000,91,1024,60,21887,2546.6,2163,254.1,43778.048,50593.792,62128.128,123207.68,21364.736,37486.592,337641.472,379584.512
tp8_cpuhalf_generic,73,32,60,14785,1773.1,5452,654.0,1843.2,3522.56,5013.504,17432.576,27.264,74.24,995.328,125304.832
tp8_cpuhalf_generic,73,1024,60,14901,1788.6,5521,662.4,55836.672,64749.568,79167.488,156237.824,24772.608,128450.56,196083.712,256901.12
