config,round,avg_ttft_s,cache_hit_rate_pct,request_count
GPU only,0,0.7065441312497569,0.0,8
GPU only,1,1.9185088955000538,12.498474307335531,8
GPU only,2,3.519311160878715,8.331977217249795,8
GPU only,3,5.000903354000911,9.373283700494294,8
GPU only,4,8.23702492800112,0.0,8
GPU only,5,11.61261007212488,0.0,8
HiCache L1+L2,0,0.7207361880045937,0.0,8
HiCache L1+L2,1,1.3757041403750918,46.86927865250824,8
HiCache L1+L2,2,2.7036779972495424,37.42880390561432,8
HiCache L1+L2,3,4.694250339998689,18.74656740098859,8
HiCache L1+L2,4,8.25731737975002,3.7492677211482133,8
HiCache L1+L2,5,11.879424702627148,0.0,8
+Mooncake,0,0.7636663090015645,0.0,8
+Mooncake,1,1.2034937429998536,44.33052605883071,8
+Mooncake,2,2.7682706581254024,31.244914564686738,8
+Mooncake,3,4.804856716744325,16.98907670714591,8
+Mooncake,4,6.976303853502031,19.99609451279047,8
+Mooncake,5,10.780546055750165,10.414547821488142,8
+Mooncake+SSD,0,0.7640473963783734,0.0,8
+Mooncake+SSD,1,1.2073944803705672,43.74466007567436,8
+Mooncake+SSD,2,2.76640940487232,31.244914564686738,8
+Mooncake+SSD,3,4.78022557075019,16.98907670714591,8
+Mooncake+SSD,4,6.976357898874994,19.99609451279047,8
+Mooncake+SSD,5,10.782925086750765,10.414547821488142,8
