config,avg_ttft_s,p90_ttft_s,p99_ttft_s,input_token_throughput_tok_s,cache_hit_rate_pct,total_requests,avg_prompt_len,offload_file_count,offload_du_gb,offload_read_events,max_offload_key_count,max_write_mb_s,max_read_mb_s,invalid_key_errors,insufficient_space_errors
GPU only,5.165817090292573,12.362872268000501,12.430657909993897,3651.4639701062147,4.165940184352152,48,14338.5,0,0.0,0,0,0.0,0.0,0,0
HiCache L1+L2,4.938518458000847,12.726275486013037,12.762604092000402,3743.5850660631304,14.273924515581593,48,14338.5,0,0.0,0,0,0.0,0.0,0,0
+Mooncake,4.549522889353891,12.665061058010906,12.69800045399461,3966.3271340412407,19.658030244911718,48,14338.5,0,0.0,0,0,0.0,0.0,0,0
+Mooncake+SSD,4.546226639666202,12.672265289991628,12.692881656999816,3968.596948616063,19.602236403157004,48,14338.5,0,0.0,0,0,0.0,0.0,0,0
