config,round,avg_ttft_s,cache_hit_rate_pct,request_count
GPU only,0,0.7005900038739128,0.0,8
GPU only,1,1.9300585162500283,12.498474307335531,8
GPU only,2,3.526818681749319,8.331977217249795,8
GPU only,3,5.008859668999321,9.373283700494294,8
GPU only,4,8.235310803251195,0.0,8
GPU only,5,11.613556458874882,0.0,8
GPU only,6,0.01965703812402353,0.0,8
GPU only,7,0.018009085250014323,0.0,8
HiCache L1+L2,0,0.7241221398753623,0.0,8
HiCache L1+L2,1,1.3716641367500415,46.86927865250824,8
HiCache L1+L2,2,2.7047844560001977,37.42880390561432,8
HiCache L1+L2,3,4.685276104873992,18.74656740098859,8
HiCache L1+L2,4,8.263600806374598,3.7492677211482133,8
HiCache L1+L2,5,11.889490996747554,0.0,8
HiCache L1+L2,6,0.01720750937329285,0.0,8
HiCache L1+L2,7,0.020236505250977643,0.0,8
+Mooncake,0,0.7499954818758852,0.0,8
+Mooncake,1,1.2677314641241537,47.65043329671671,8
+Mooncake,2,2.761334052251186,31.244914564686738,8
+Mooncake,3,4.780615095874964,16.98907670714591,8
+Mooncake,4,6.955884553874057,19.99609451279047,8
+Mooncake,5,10.79813835125151,10.414547821488142,8
+Mooncake,6,0.01944128862578509,0.0,8
+Mooncake,7,0.020921582375194703,0.0,8
+Mooncake+SSD,0,0.7655504561244015,0.0,8
+Mooncake+SSD,1,1.2534252051254953,49.993897229342124,8
+Mooncake+SSD,2,1.5752659210002093,66.65581773799836,8
+Mooncake+SSD,3,4.869185603751248,70.73900042716788,8
+Mooncake+SSD,4,7.1864545741254915,28.62722124585042,8
+Mooncake+SSD,5,11.62993752725015,4.165819128595256,8
+Mooncake+SSD,6,0.01730389837484836,0.0,8
+Mooncake+SSD,7,0.01747449825052172,0.0,8
